D1BPM6_VEIPT,A0A2D3P600_9FUSO,C0EJJ1_NEIFL,L1MCS5_9BACT,C3JCB2_POREA,A0A7W4HJV8_9BACT,D6GSY8_FILAD,W1W7T9_9FIRM,U2MCA6_9BACT,E6KWI6_9PAST,A0A2W5KWT7_9CORY,A0A380N4Y6_9FIRM,D1BP93_VEIPT,A0A239YF41_9FIRM,A0A7W4HEW8_9BACT,E4LDI2_9FIRM,A0A3P2AFV8_9FIRM,A0A3P1ZCI1_9BACT,A0A069ZK08_9PORP,A0A2G6QS19_9SPIR,NUOD_NEIMB,D2NQS3_ROTMD,A7B9J2_9ACTO,X8ISL9_9STRE,E3H5W3_ROTDC,UPI000F66B8D6,F1ZRM2_9FLAO,C0EJZ3_NEIFL,A0A6L5DSP1_9BACT,A0A2I1Z7Q9_9MICC,label
0.014737987,0.014798853,0.014891455,0.015189777,0.013314539,0.013924487,0.016305638,0.01225444,0.015008179,0.013493212,0.013730659,0.013422022,0.014989258,0.013490738,0.0135451695,0.013494924,0.014751044,0.013821536,0.013816968,0.013634292,0.0129662715,0.013778187,0.01681449,0.013519083,0.01466645,0.013657129,0.014248308,0.0135791,0.013427284,0.015033758,0
0.014252532,0.01499322,0.014806857,0.015260744,0.013691935,0.012792078,0.016443368,0.012266135,0.013327808,0.013354806,0.013350124,0.01301494,0.015201206,0.013381199,0.013580411,0.013109766,0.014726833,0.013635793,0.014335773,0.013964502,0.013766089,0.013944982,0.01637126,0.013574655,0.014845957,0.013598686,0.014008846,0.015218631,0.013396188,0.0153110325,1
0.015599792,0.014808414,0.015089415,0.015657118,0.0135528045,0.014113681,0.015107333,0.014703009,0.0133835515,0.0136116585,0.013991107,0.013874924,0.01568324,0.013426643,0.013484997,0.014500091,0.014811055,0.013505584,0.013903505,0.013739083,0.012564437,0.014745621,0.016767533,0.013575905,0.015876118,0.013749468,0.014048331,0.0139787905,0.0135968765,0.015813097,0
0.014531329,0.013660719,0.014193406,0.0150489975,0.014315213,0.013571605,0.01645775,0.011456733,0.014333376,0.012862644,0.013771323,0.013580763,0.016175978,0.013164357,0.015243649,0.012817245,0.015187528,0.013560299,0.013540954,0.013854476,0.0135916835,0.014112519,0.016762016,0.013815412,0.015233034,0.013132707,0.014197502,0.015999503,0.0136446105,0.014922919,1
0.015919875,0.0134790465,0.013921615,0.014958795,0.013749285,0.014042636,0.017906811,0.015137179,0.0135801565,0.013598145,0.014113015,0.014253005,0.015287717,0.014745954,0.012627425,0.0140917525,0.014777213,0.014130657,0.013836011,0.013458481,0.013222641,0.014266304,0.016560704,0.0134341,0.014882252,0.013599238,0.0144040175,0.013666649,0.01419463,0.015753252,0
0.014742329,0.013234628,0.014367701,0.015235952,0.014515891,0.013670178,0.015896201,0.012508418,0.014666404,0.013130973,0.0143258115,0.013366508,0.016624061,0.014011062,0.013489454,0.013289822,0.014791774,0.0137148155,0.013840266,0.013776449,0.013354821,0.0142633105,0.017385328,0.013474392,0.015994007,0.014158258,0.014261947,0.014438277,0.014511492,0.016228942,1
0.0152050285,0.013793622,0.014034569,0.015510493,0.013826582,0.014167412,0.015419363,0.012778149,0.014541086,0.013128728,0.014373811,0.012576299,0.016329061,0.014127385,0.013288761,0.012724339,0.014825139,0.013450249,0.013800282,0.013573206,0.012940689,0.014319617,0.017792843,0.013831371,0.015414737,0.013799834,0.014097451,0.014101267,0.013949851,0.01524192,1
0.015564286,0.014857687,0.0152158765,0.016079256,0.014484172,0.01363292,0.018586341,0.014179024,0.015050164,0.015537026,0.013719018,0.013743246,0.014514328,0.013997669,0.014650374,0.013976441,0.015032593,0.014746834,0.01375897,0.014261919,0.012661108,0.014311051,0.015977822,0.013640811,0.014723107,0.01387357,0.014371845,0.0141750155,0.014183384,0.015203242,0
0.015564644,0.013892752,0.014146149,0.014596519,0.0144327255,0.014366055,0.01692574,0.012639786,0.014992859,0.0134515725,0.013464701,0.013847539,0.016071917,0.013944214,0.013945143,0.014027014,0.014876513,0.013742417,0.013592019,0.013891247,0.013373747,0.014206421,0.017483193,0.013412217,0.014469441,0.013651347,0.014588385,0.014085525,0.014167383,0.01495447,1
0.014807464,0.015105082,0.015012652,0.014444925,0.01443476,0.014572708,0.01732919,0.012292946,0.014732893,0.013354692,0.013856597,0.013354929,0.015277294,0.013221608,0.014732653,0.013224404,0.014889538,0.013793043,0.013836088,0.014075373,0.013009651,0.014283123,0.01685642,0.01317794,0.015751116,0.0133874025,0.015769035,0.013916449,0.0132226115,0.015477716,0
